Vehicle_ID,Frame_ID,Tot_Frames,Epoch_ms,Veh_Len,Veh_Velocity,Vehicle_Acc,Lane_ID,Org_Zone,Dest_Zone,Direction
2,29,1707,1163033200,14,16.59,-5.03,0,102,214,2
15,45,1713,1163034800,18,17.29,0,1,101,214,2
17,60,1717,1163036300,15.5,25.79,0,1,101,214,2
36,202,1395,1163050500,16.6,29.97,0,2,101,215,2
39,202,1598,1163050500,15,1.19,0,1,101,214,2
50,290,1573,1163059300,16.5,11.25,0,1,101,214,2
53,303,1428,1163060600,15.5,22.45,0,2,101,214,2
59,344,1476,1163064700,14.5,22.17,0,2,101,214,2
75,443,2377,1163074600,42.6,12.45,0,2,101,214,2
85,493,1259,1163079600,14.5,48.22,0,1,101,214,2
89,505,1273,1163080800,16.5,51.3,0,1,101,214,2
95,577,2191,1163088000,18,36.16,0,1,101,214,2
119,682,1211,1163098500,16.7,22.76,-4.95,0,123,214,2
142,817,1118,1163112000,16,10.75,-11.33,0,102,214,2
170,895,1831,1163119800,16,18.11,-6.82,0,102,214,2
177,925,1815,1163122800,16,15.64,-12.27,0,102,214,2
200,1060,1712,1163136300,16.5,10.47,-1.08,0,123,214,2
239,1367,1347,1163167000,33,41.94,0,3,102,214,2
240,1381,1160,1163168400,24,40.94,0,1,101,215,2
247,1431,1331,1163173400,26,40.5,0,1,101,214,2
252,1469,1350,1163177200,21,47.92,0,2,101,213,2
253,1514,1329,1163181700,26.6,48.34,0,1,101,214,2
256,1552,2143,1163185500,23,23.53,0,1,101,214,2
261,1678,1235,1163198100,16,17.38,11.2,0,123,214,2
262,1654,1240,1163195700,20,16.92,0,2,101,214,2
307,2025,1018,1163232800,18,2.27,-0.09,0,123,214,2
334,2016,1741,1163231900,18.5,0,0,1,101,214,2
337,2061,844,1163236400,14,17.77,-4.35,0,123,214,2
347,2168,1547,1163247100,19.5,0,0,2,101,214,2
357,2271,1290,1163257400,17.5,16.93,0,2,101,215,2
363,2292,1305,1163259500,19.5,33.24,0,3,102,215,2
366,2315,1457,1163261800,19.5,20.33,0,1,101,214,2
370,2342,1390,1163264500,18.5,21.8,0,1,101,214,2
371,2360,1395,1163266300,20.5,36.81,0,2,101,214,2
373,2379,1437,1163268200,20.5,32.97,0,1,101,214,2
380,2413,1355,1163271600,29.5,35.11,0,2,101,214,2
388,2450,1183,1163275300,14.5,35.64,0,2,101,215,2
389,2476,1327,1163277900,16,34.45,0,2,101,214,2
390,2476,1375,1163277900,14.5,34.61,0,1,101,214,2
396,2562,1319,1163286500,15.5,13.09,-7.15,0,102,214,2
410,2653,1184,1163295600,15.2,17.87,10.02,0,123,213,2
491,2914,1629,1163321700,17.5,18.4,-1.64,0,123,215,2
524,3099,797,1163340200,16.5,26.33,0,3,102,214,2
530,3130,782,1163343300,16.5,32.81,0,1,101,214,2
545,3188,680,1163349100,17.1,33.74,0,2,101,214,2
556,3230,1434,1163353300,17,39.75,0,1,101,214,2
562,3258,1415,1163356100,17,33.95,0,2,101,214,2
564,3258,1395,1163356100,16,36.64,0,1,101,213,2
593,3466,1225,1163376900,18.5,40.16,0,1,101,214,2
597,3540,1176,1163384300,14.1,22.05,0,3,102,214,2
601,3640,1074,1163394300,16.5,23.91,10.02,0,123,214,2
619,3751,1113,1163405400,16,20.62,0,1,101,214,2
669,4061,730,1163436400,16.5,25.57,0,2,101,214,2
671,4061,818,1163436400,16.5,20.17,0,1,101,214,2
703,4221,1523,1163452400,16,15.78,0,1,101,214,2
723,4391,1365,1163469400,17,14.51,0,0,102,214,2
746,4609,1223,1163491200,15,18.86,0,1,101,214,2
749,4631,1126,1163493400,15.2,20.35,0,0,123,214,2
758,4654,1119,1163495700,15.9,27.96,0,0,123,214,2
826,4859,983,1163516200,16,21.98,0,2,101,214,2
846,4988,872,1163529100,16.5,17.72,0,2,101,214,2
860,5060,784,1163536300,15.5,2,0,2,101,214,2
862,5060,1631,1163536300,15.5,0,0,1,101,214,2
903,5248,1464,1163555100,14.5,12.7,0,1,101,214,2
909,5281,1386,1163558400,16.6,21.81,0,1,101,214,2
919,5326,1406,1163562900,15,28.35,0,1,101,214,2
925,5350,1323,1163565300,16.5,29.02,0,1,101,214,2
932,5378,1373,1163568100,15.6,31.02,0,1,101,214,2
945,5440,1332,1163574300,15.5,36.31,0,1,101,214,2
951,5522,1276,1163582500,16,38.78,0,1,101,214,2
958,5570,1214,1163587300,17.1,6.78,0,2,101,214,2
970,5677,1095,1163598000,17.1,22.43,10.02,0,123,214,2
975,5691,1143,1163599400,14.8,15.47,-0.49,0,123,214,2
980,5651,1159,1163595400,17,9.03,0,1,101,214,2
984,5724,2008,1163602700,17,7.51,0,1,101,214,2
1077,5987,854,1163629000,23.8,30.25,0,3,102,214,2
1087,6016,1541,1163631900,22.5,27.98,0,3,102,215,2
1090,6034,1660,1163633700,17,22.74,0,3,102,214,2
1102,6067,799,1163637000,14.5,20.8,0,1,101,214,2
1104,6075,753,1163637800,15.5,10.15,0,2,101,214,2
1123,6239,1515,1163654200,17,5.46,0,1,101,214,2
1131,6303,1409,1163660600,15,26.28,0,1,101,214,2
1134,6319,1296,1163662200,14.5,26.06,0,1,101,215,2
1142,6336,1290,1163663900,15.5,25.76,0,1,101,215,2
1147,6380,1353,1163668300,15,32.76,0,1,101,214,2
1152,6393,1378,1163669600,16,35.15,0,1,101,214,2
1155,6437,1350,1163674000,16.5,37.91,0,1,101,214,2
1157,6437,1376,1163674000,17,30.49,0,1,101,214,2
1165,6527,1309,1163683000,16.6,41.89,0,1,101,214,2
1170,6554,2268,1163685700,15.5,18.35,0,1,101,214,2
1173,6567,1228,1163687000,16.5,21.84,0,2,101,214,2
1176,6586,1987,1163688900,16,11.31,0,1,101,215,2
1182,6643,1319,1163694600,16.4,14.62,-0.84,0,123,214,2
1192,6689,1239,1163699200,16.7,21.87,10.12,0,123,214,2
1232,6881,1925,1163718400,15.3,15.02,0,3,102,214,2
1289,7183,1596,1163748600,14.5,1.02,0,2,101,214,2
1303,7215,1343,1163751800,15.2,14.44,0,0,102,215,2
1308,7236,1564,1163753900,15,2.64,0,2,101,214,2
1311,7240,1608,1163754300,15,20.72,0,1,101,214,2
1331,7377,1457,1163768000,16,51.3,0,1,101,214,2
1343,7405,1468,1163770800,16,49.19,0,1,101,214,2
1350,7469,1351,1163777200,15.8,21.62,0,3,102,214,2
1364,7632,1264,1163793500,16.2,23.02,-1.78,0,123,214,2
1369,7663,1268,1163796600,15.7,26.6,10.02,0,123,214,2
1382,7686,1355,1163798900,14.6,27.94,-3.55,0,123,215,2
1387,7708,1244,1163801100,15.7,17.53,5.1,0,123,214,2
1390,7727,1247,1163803000,15.9,25.85,9.32,0,123,214,2
1431,7837,1015,1163814000,15.9,13.27,0,3,102,214,2
1452,7903,1832,1163820600,20,21.44,0,3,102,214,2
1473,8037,1657,1163834000,15.9,17.22,0,3,102,214,2
1476,8042,1615,1163834500,15,9,0,1,101,214,2
1483,8089,1691,1163839200,15.6,14.19,0,1,101,214,2
1543,8634,1049,1163893700,16.8,22.07,-1.23,0,123,214,2
1558,8694,1329,1163899700,15,17,0,1,101,215,2
1621,8913,905,1163921600,16.1,14.96,-3.88,0,102,214,2
1640,8973,837,1163927600,15,16.38,-5.57,0,102,214,2
1689,1579,2161,1163188200,15.5,6.2,0,1,101,214,2
1708,1326,1415,1163162900,17.5,45.73,0,2,101,214,2
